rank,region,organization,evidence_level,fit_total,match_score,match_reason,reach_score,reach_reason,budget_score,budget_reason,cycle_score,cycle_reason,contact_name,contact_title,personal_reach_method,email,phone,linkedin_person_search_url,reachability_status,source_urls,outreach_zh_around_200_chars
11,大陆,Wanda Group / Wang Family Platform,C,26,6,"万达资产经历地产、文旅、院线和多元投资调整，资产治理需求可能存在。",6,"王健林为明确 principal；需验证家族资本团队实际联系人。",8,"资产体量大，但近期集团重组可能影响预算节奏。",6,"更适合通过熟人/银行渠道验证后跟进。",Wang Jianlin,Chairman / family principal,LinkedIn personal search,,,https://www.linkedin.com/search/results/people/?keywords=Wang%20Jianlin%20Wanda%20Group,person_name_plus_linkedin_search_needs_profile_confirmation,https://www.wanda-group.com/ | https://en.wikipedia.org/wiki/Wang_Jianlin,"王总您好，万达集团长期涉及地产、文旅、院线和多元投资，家族层面的资产视图、现金流跟踪和外部金融资产汇总需要稳定数据基础。Canopy 面向家族办公室和私人投资平台，帮助统一托管行、券商、基金和直接投资数据，降低手工报表负担。若相关家族资本团队正在提升资产透明度，我希望安排 15 分钟介绍。"
12,大陆,BYD / Wang Family Capital Equivalent,C,25,6,"王传福家族财富主要来自产业股权，若存在外部金融资产和家族办公室则有聚合需求。",6,"王传福为明确 principal；需 Apollo/Hunter 找家办或投资办公室联系人。",8,"财富规模高，但家族办公室预算主体不公开。",5,"当前更像待验证线索，需先确认家族资本团队。",Wang Chuanfu,Chairman / family principal,LinkedIn personal search,,,https://www.linkedin.com/search/results/people/?keywords=Wang%20Chuanfu%20BYD,person_name_plus_linkedin_search_needs_profile_confirmation,https://www.bydglobal.com/ | https://en.wikipedia.org/wiki/Wang_Chuanfu,"王总您好，比亚迪长期高速发展，家族财富和产业股权价值庞大，若家族层面同时配置外部金融资产、基金或跨境投资，统一报告和风险汇总会变得关键。Canopy 可帮助家族资本团队整合多机构资产数据，形成实时组合视图。若相关办公室正在建立更系统化的资产报告流程，我希望安排 15 分钟交流。"
13,台湾,Fubon Financial / Tsai Family Platform,C,29,7,"蔡氏家族金融控股体系庞大，金融资产、地产与家族治理场景明显。",7,"Daniel Tsai 为明确 principal；个人 LinkedIn 检索入口可用，需补邮箱。",8,"金融控股背景强，财富科技预算潜力高。",7,"金融体系内采购规范，需找家族资本或主席办公室实际联系人。",Daniel Tsai,Chairman / family principal,LinkedIn personal search,,,https://www.linkedin.com/search/results/people/?keywords=Daniel%20Tsai%20Fubon%20Financial,person_name_plus_linkedin_search_needs_profile_confirmation,https://www.fubon.com/financialholdings/en/ | https://en.wikipedia.org/wiki/Tsai_Ming-chung,"蔡先生您好，富邦体系横跨银行、保险、证券和资产管理，家族层面的金融资产与长期控股结构非常复杂。Canopy 服务家族办公室，能整合多银行、多券商、基金、私募和直接投资数据，形成统一资产视图。若蔡氏家族资本团队希望提升跨实体资产报告、顾问协作和多币种汇总效率，我希望安排一次 15 分钟交流。"
14,台湾,Cathay Financial / Lin Yuan Group Family Platform,C,29,7,"霖园蔡氏家族金融、保险、地产和投资资产复杂，合并报告场景强。",7,"Tsai Hong-tu 为明确 principal；LinkedIn 检索入口可用，需补实际办公室联系人。",8,"金融控股与家族资产体量大，预算能力强。",7,"需通过家族办公室/主席办公室验证采购路径。",Tsai Hong-tu,Chairman / family principal,LinkedIn personal search,,,https://www.linkedin.com/search/results/people/?keywords=Tsai%20Hong-tu%20Cathay%20Financial,person_name_plus_linkedin_search_needs_profile_confirmation,https://www.cathayholdings.com/en/ | https://en.wikipedia.org/wiki/Tsai_Hong-tu,"蔡先生您好，国泰与霖园体系长期覆盖保险、银行、地产和投资资产，家族层面的资产汇总、风险视图和跨实体报告天然复杂。Canopy 可帮助家族办公室统一不同金融机构、管理人、私募和直接持股数据。若家族资本团队正在考虑更现代化的资产聚合工具，我希望安排一次 15 分钟交流。"
15,台湾,Ruentex Group / Samuel Yin Family Platform,C,28,7,"润泰体系地产、零售、金融投资和公益资产并存，长期资本治理需求明显。",7,"Samuel Yin 为明确 principal；LinkedIn 检索入口可用。",8,"资产规模和公益基金会治理预算潜力较高。",6,"需先确认投资办公室联系人，直接触达 principal 周期较长。",Samuel Yin,Founder / Chairman,LinkedIn personal search,,,https://www.linkedin.com/search/results/people/?keywords=Samuel%20Yin%20Ruentex,person_name_plus_linkedin_search_needs_profile_confirmation,https://www.ruentex.com.tw/ | https://en.wikipedia.org/wiki/Samuel_Yin,"尹先生您好，润泰体系横跨地产、零售、投资和公益项目，长期资产与流动金融资产之间的汇总和治理需要可靠数据基础。Canopy 专注为家族办公室提供资产聚合、跨机构数据整合和家族级投资报告，减少手工更新和口径不一致。若润泰家族平台正在提升投资运营效率，我希望安排 15 分钟沟通。"
16,台湾,Pou Chen Group / Tsai Family Platform,C,26,6,"宝成集团全球制造和投资资产多市场、多币种，潜在家族资本需求存在。",6,"蔡氏家族联系人需进一步确认，本表以 chair office 个人线索待补充。",8,"家族资产规模大，但独立家办主体不公开。",6,"需先用 Apollo/Hunter 找投资办公室具体负责人。",Tsai Family Chair Office,Family capital / chair office lead needed,LinkedIn personal search,,,https://www.linkedin.com/search/results/people/?keywords=Pou%20Chen%20Group%20Tsai%20family%20investment,person_name_plus_linkedin_search_needs_profile_confirmation,https://www.pouchen.com/ | https://en.wikipedia.org/wiki/Pou_Chen_Corporation,"您好，宝成集团在全球制造、品牌供应链和投资布局上具有多市场、多币种和多实体特点，家族资本视角下的资产汇总与报表协调会非常复杂。Canopy 可整合银行、券商、基金、私募和直接投资数据，形成一致的家族级资产总览。若宝成家族资本或董事长办公室正在优化投资数据管理，我希望安排 15 分钟交流。"
17,台湾,Want Want China / Tsai Family Platform,C,25,6,"旺旺家族消费品、媒体和跨境经营资产明显，外部金融资产需验证。",6,"Tsai Eng-meng 为明确 principal；个人触达需进一步验证。",8,"财富规模较高，但采购主体不清晰。",5,"争议和决策链因素较多，建议低优先级验证。",Tsai Eng-meng,Chairman / family principal,LinkedIn personal search,,,https://www.linkedin.com/search/results/people/?keywords=Tsai%20Eng-meng%20Want%20Want,person_name_plus_linkedin_search_needs_profile_confirmation,https://www.want-want.com/ | https://en.wikipedia.org/wiki/Tsai_Eng-meng,"蔡先生您好，旺旺集团在消费品、媒体和跨境经营上有长期布局，家族资本与经营资产之间的总览、现金流和外部投资报告通常需要统一口径。Canopy 面向家族办公室，帮助整合多银行、多券商、基金和直接投资数据。若旺旺家族资本团队希望减少手工报表并提高资产透明度，我希望安排 15 分钟交流。"
18,台湾,Formosa Plastics / Wang Family Platform,C,24,6,"王氏家族产业资产巨大，但外部家族办公室和金融资产配置公开证据较弱。",5,"需进一步确认具体家族资本负责人；当前只有 family principal 级别线索。",8,"财富规模高，预算能力存在。",5,"需先验证独立家办，否则不建议直接销售触达。",Wang Family Office Lead Needed,Family capital lead needed,LinkedIn personal search,,,https://www.linkedin.com/search/results/people/?keywords=Formosa%20Plastics%20Wang%20family%20office,person_name_plus_linkedin_search_needs_profile_confirmation,https://www.fpg.com.tw/ | https://en.wikipedia.org/wiki/Formosa_Plastics_Group,"您好，台塑体系代表台湾最重要的家族产业资产之一，若王氏家族层面同时管理外部金融资产、基金、地产或跨境投资，统一资产视图会很关键。Canopy 可帮助家族资本团队整合多机构数据，减少 Excel 汇总和多币种报表压力。若相关家族办公室或投资团队正在建立更系统化报告流程，我希望安排一次简短交流。"
19,泰国,Charoen Pokphand Group / Chearavanont Family Platform,C,32,8,"谢氏家族资产横跨农业食品、零售、电信、金融和全球投资，复杂度极高。",7,"Suphachai Chearavanont 为明确家族 principal；LinkedIn 检索入口可用。",9,"资产体量和专业团队成熟度高，预算能力强。",8,"跨境和多产业资产带来持续报告需求，但需找家族资本团队。",Suphachai Chearavanont,CEO / family principal,LinkedIn personal search,,,https://www.linkedin.com/search/results/people/?keywords=Suphachai%20Chearavanont%20CP%20Group,person_name_plus_linkedin_search_needs_profile_confirmation,https://www.cpgroupglobal.com/ | https://en.wikipedia.org/wiki/Suphachai_Chearavanont,"Suphachai 你好，CP Group 横跨农业食品、零售、电信、金融和全球投资，家族资本层面的数据来源与资产口径非常复杂。Canopy 可把银行、券商、基金、私募、直接投资和多币种资产统一到一个实时视图，减少人工对账和分散报表。若 Chearavanont family capital team 正在优化家族投资报告，我希望安排 15 分钟交流。"
20,泰国,Central Group / Chirathivat Family Platform,C,31,8,"Chirathivat 家族零售、地产、酒店和海外资产丰富，跨实体报告需求强。",7,"Tos Chirathivat 为明确 principal；LinkedIn 检索入口可用。",9,"家族资产和跨境扩张显著，预算能力强。",7,"采购链较长，建议通过投资或主席办公室切入。",Tos Chirathivat,Executive Chairman / family principal,LinkedIn personal search,,,https://www.linkedin.com/search/results/people/?keywords=Tos%20Chirathivat%20Central%20Group,person_name_plus_linkedin_search_needs_profile_confirmation,https://www.centralgroup.com/ | https://en.wikipedia.org/wiki/Central_Group,"Tos 你好，Central Group 在零售、地产、酒店和海外资产上持续扩张，家族层面的投资组合、现金流和跨实体报告很容易分散在多个系统中。Canopy 可以统一托管行、券商、基金、私募和直接投资数据，建立清晰的资产总览。若 Chirathivat family office 或投资团队希望提升数据整合效率，我希望安排 15 分钟沟通。"
21,泰国,TCC Group / Sirivadhanabhakdi Family Platform,C,31,8,"苏旭明家族资产覆盖 ThaiBev、地产、酒店、消费和跨境投资，组合复杂。",7,"Panote 为家族二代核心管理者，个人检索入口可用。",9,"资产体量大且多元，预算能力强。",7,"需验证家族资本团队联系人，建议暖介绍。",Panote Sirivadhanabhakdi,Group CEO / family principal,LinkedIn personal search,,,https://www.linkedin.com/search/results/people/?keywords=Panote%20Sirivadhanabhakdi%20TCC%20Group,person_name_plus_linkedin_search_needs_profile_confirmation,https://www.tcc.co.th/ | https://www.thaibev.com/ | https://en.wikipedia.org/wiki/Charoen_Sirivadhanabhakdi,"Panote 你好，TCC 及相关平台覆盖消费、地产、酒店和跨境投资，家族层面需要同时看经营资产、金融投资和长期控股表现。Canopy 可统一不同银行、券商、基金管理人和直接项目数据，支持跨币种、跨实体定期报告。若 Sirivadhanabhakdi family capital team 正在提升资产透明度，我希望安排 15 分钟交流。"
22,泰国,DTGO / Chearavanont Family Platform,B,30,8,"DTGO 结合地产、投资和社会影响力资产，家族治理与影响力报告并存。",7,"Thippaporn 为 founder/CEO，个人检索入口可用。",8,"家族平台成熟，有数字化和影响力资产预算潜力。",7,"价值观投资与地产组合适合从报告透明度切入。",Thippaporn Ahriyavraromp,Founder / Group CEO,LinkedIn personal search,,,https://www.linkedin.com/search/results/people/?keywords=Thippaporn%20Ahriyavraromp%20DTGO,person_name_plus_linkedin_search_needs_profile_confirmation,https://www.dtgo.com/,"Thippaporn 你好，DTGO 将地产、投资和社会影响力目标结合，既有长期资产管理，也有家族价值观和影响力呈现需求。Canopy 能整合多银行、多管理人、私募和直接投资数据，形成统一的资产、现金流和报告视图。若 DTGO 希望进一步数字化投资组合透明度，我希望安排 15 分钟交流。"
23,泰国,Srivikorn Group,A,29,7,"Srivikorn 作为家族投资平台，涉及地产、消费、科技和长期投资。",8,"Khan Srivikorn 为家族 principal，个人检索入口明确。",7,"资产规模较大型家族略低，但家办 SaaS 适配度好。",7,"决策链可能更短，适合直接 LinkedIn + 邮件测试。",Khan Srivikorn,Chairman / family principal,LinkedIn personal search,,,https://www.linkedin.com/search/results/people/?keywords=Khan%20Srivikorn%20Srivikorn%20Group,person_name_plus_linkedin_search_needs_profile_confirmation,https://srivikorn.com/,"Khan 你好，Srivikorn Group 作为家族资本平台，长期投资地产、消费和创新企业，组合类型多元且需要持续跟踪。Canopy 可把银行、券商、基金、私募和直接投资数据整合到一个仪表盘，减少人工报表和管理人数据口径差异。若 Srivikorn family office 正在优化投资运营或家族成员报告，我希望安排 15 分钟交流。"
24,泰国,Saha Group / Chokwatana Family Platform,C,26,6,"Chokwatana 家族消费品和工业集团资产多元，家族资本需求需验证。",6,"Boonsithi 为明确 principal，个人触达需补强。",8,"集团体量大，预算能力存在。",6,"需先确认是否有独立家族资本团队。",Boonsithi Chokwatana,Chairman / family principal,LinkedIn personal search,,,https://www.linkedin.com/search/results/people/?keywords=Boonsithi%20Chokwatana%20Saha%20Group,person_name_plus_linkedin_search_needs_profile_confirmation,https://www.sahagroup.com/ | https://en.wikipedia.org/wiki/Saha_Group,"Boonsithi 你好，Saha Group 长期经营消费品、工业和多元投资，家族层面的资产总览、外部投资和现金流报告可能分散在多个实体。Canopy 专注帮助家族办公室统一银行、券商、基金、私募和直接持股数据，建立一致的组合和风险视图。若 Chokwatana family capital team 希望提升报告效率，我希望安排 15 分钟沟通。"
25,马来西亚,Kuok Group / Kerry Family Platform,B,32,8,"郭氏家族全球资产覆盖大宗商品、地产、酒店、物流和投资，跨地域多币种复杂。",7,"Kuok family principal 需确认具体联系人；个人检索入口可用。",9,"资产体量和跨境复杂度高，预算能力强。",8,"跨地域资产天然需要统一视图，但需暖介绍。",Kuok Khoon Hong / Kuok Family Office Lead,Family principal / family capital lead,LinkedIn personal search,,,https://www.linkedin.com/search/results/people/?keywords=Kuok%20family%20office%20Kuok%20Group,person_name_plus_linkedin_search_needs_profile_confirmation,https://www.kuokgroup.com/ | https://www.kerryholdings.com/ | https://en.wikipedia.org/wiki/Robert_Kuok,"您好，Kuok family platform 横跨亚洲多个市场，资产覆盖大宗商品、地产、酒店、物流和长期投资，家族层面的跨币种和跨实体资产视图非常关键。Canopy 能整合不同托管行、券商、基金、私募和直接投资数据，形成统一资产总览。若家族资本团队希望减少分散报表和手工汇总，我希望安排 15 分钟交流。"
26,马来西亚,Hong Leong Group Malaysia / Quek Family Platform,B,31,8,"郭令灿家族金融、地产、制造和投资资产丰富，适合跨机构资产聚合。",7,"Quek Leng Chan 为明确 principal，个人检索入口可用。",9,"金融与产业资产并存，预算能力强。",7,"需通过主席办公室或家族资本团队确认采购路径。",Quek Leng Chan,Chairman / family principal,LinkedIn personal search,,,https://www.linkedin.com/search/results/people/?keywords=Quek%20Leng%20Chan%20Hong%20Leong%20Malaysia,person_name_plus_linkedin_search_needs_profile_confirmation,https://www.hongleong.com.my/ | https://en.wikipedia.org/wiki/Quek_Leng_Chan,"Mr. Quek 你好，Hong Leong Malaysia 覆盖金融服务、地产、制造和长期投资，家族资本层面的资产、风险和现金流报告需要整合多个来源。Canopy 可连接银行、券商、基金管理人、私募和直接投资数据，形成可追踪组合视图。若 Quek family office 或主席办公室正在优化资产报告流程，我希望安排 15 分钟沟通。"
27,马来西亚,Sunway Group / Jeffrey Cheah Family Platform,C,29,7,"谢富年家族地产、教育、医疗、基础设施、基金会和投资组合复杂。",7,"Jeffrey Cheah 为明确 principal，个人检索入口可用。",8,"家族资产和基金会治理预算潜力高。",7,"可从基金会/家族平台治理和报告透明度切入。",Jeffrey Cheah,Founder / Chairman,LinkedIn personal search,,,https://www.linkedin.com/search/results/people/?keywords=Jeffrey%20Cheah%20Sunway%20Group,person_name_plus_linkedin_search_needs_profile_confirmation,https://www.sunway.com.my/ | https://en.wikipedia.org/wiki/Jeffrey_Cheah,"Tan Sri Jeffrey 你好，Sunway 体系横跨地产、教育、医疗、基础设施和公益基金会，家族资本和长期影响力资产之间需要清晰、持续的报告基础。Canopy 可整合银行、券商、基金、私募和直接投资数据，形成统一资产视图。若 Sunway family platform 正在提升投资数据管理，我希望安排 15 分钟交流。"
28,马来西亚,YTL Corporation / Yeoh Family Platform,C,28,7,"杨氏家族基础设施、公用事业、地产、酒店和科技投资资产多元。",7,"Francis Yeoh 为明确 principal，个人检索入口可用。",8,"资产体量和跨行业复杂度较高。",6,"需先确认家族资本或投资办公室实际联系人。",Francis Yeoh,Executive Chairman / family principal,LinkedIn personal search,,,https://www.linkedin.com/search/results/people/?keywords=Francis%20Yeoh%20YTL,person_name_plus_linkedin_search_needs_profile_confirmation,https://www.ytl.com/ | https://en.wikipedia.org/wiki/Francis_Yeoh,"Tan Sri Francis 你好，YTL 在基础设施、公用事业、地产、酒店和科技投资上有长期布局，家族层面的资产汇总与多币种报告会涉及多个平台和管理人。Canopy 面向家族办公室，帮助统一银行、券商、基金、私募和直接投资数据，提升组合透明度。若 Yeoh family capital team 正在优化报告流程，我希望安排 15 分钟交流。"
29,马来西亚,Usaha Tegas / Ananda Krishnan Family Platform,B,28,7,"Usaha Tegas 是私人投资控股平台，电信、媒体、能源和投资资产复杂。",6,"Ananda Krishnan 为明确 principal，但个人级公开触达较弱，需 Apollo/Hunter 补。",9,"私人投资控股平台预算能力强。",6,"低公开度导致直接触达周期较长，适合暖介绍。",Ananda Krishnan / Chair Office Lead,Founder / chair office,LinkedIn personal search,,,https://www.linkedin.com/search/results/people/?keywords=Ananda%20Krishnan%20Usaha%20Tegas,person_name_plus_linkedin_search_needs_profile_confirmation,https://www.usahategas.com/ | https://en.wikipedia.org/wiki/Ananda_Krishnan,"您好，Usaha Tegas 作为私人投资控股平台，长期覆盖电信、媒体、能源和多元投资，家族资本视角下的数据整合、估值更新和跨实体报告需求明显。Canopy 可把多托管行、券商、基金、私募和直接投资项目统一到一个安全平台。若主席办公室或投资团队正在提升报告效率，我希望安排 15 分钟沟通。"
30,马来西亚,Berjaya Corporation / Vincent Tan Family Platform,C,26,6,"陈志远家族消费、地产、酒店、彩票和投资资产分散度高。",7,"Vincent Tan 为明确 principal，个人检索入口可用。",7,"资产体量较大，但独立家办主体需验证。",6,"适合先补家族资本团队联系人后跟进。",Vincent Tan,Founder / Advisor,LinkedIn personal search,,,https://www.linkedin.com/search/results/people/?keywords=Vincent%20Tan%20Berjaya,person_name_plus_linkedin_search_needs_profile_confirmation,https://www.berjaya.com/ | https://en.wikipedia.org/wiki/Vincent_Tan,"Tan Sri Vincent 你好，Berjaya 涵盖消费、地产、酒店、彩票和多元投资，家族层面的外部金融资产、直接持股和经营资产报告可能分布在多个实体。Canopy 专注为家族办公室提供统一资产聚合和组合报告，帮助减少人工汇总、提升跨机构数据透明度。若 Berjaya family capital team 正在评估更高效工具，我希望安排 15 分钟交流。"
